status_id,created_at,screen_name,text,source,favorite_count,retweet_count
x1175494632203051009,9/21/19 19:38,JoeBiden,"There's a lot at ""steak"" in this election. #SteakFry https://t.co/GTKxYoqo5C",TweetDeck,3471,484
x1175482014327328768,9/21/19 18:48,JoeBiden,"Not a joke, #TeamJoe is strong in Iowa. #SteakFry https://t.co/JQISaemexx",Twitter Web App,9205,1513
x1175473503556067333,9/21/19 18:14,JoeBiden,Stopped by #BidenFest to thank folks for their support before today's #SteakFry! https://t.co/sGzr0RQVBU,TweetDeck,1499,273
x1175469766955417602,9/21/19 18:00,JoeBiden,"Eight. That’s how many times Donald Trump asked a foreign leader to investigate me and my family.

Why? Because he knows I'll beat him like a drum. https://t.co/Oc303alcBi",Twitter Media Studio,62252,12100
x1175443997378170880,9/21/19 16:17,JoeBiden,"It's wrong what GM is doing to its workers — they deserve better. I'm proud to stand in solidarity with @UAW members on strike as they fight for fair wages, good benefits, and their hard-earned share of the profits. https://t.co/bBqVSDxxv5",Twitter Web App,2025,492
x1175430734624018434,9/21/19 15:25,JoeBiden,"Happy Homecoming, Delaware State University! I’m biased, but you are the greatest HBCU in the country.",TweetDeck,3459,1026
x1175403052301520896,9/21/19 13:35,JoeBiden,"Today is a day to celebrate Armenia’s democratic progress and to honor Armenia’s history. That history is not complete unless we recognize, once and for all, the Metz Yeghern—the Armenian Genocide. https://t.co/240N5ZXLLB",TweetDeck,1348,408
x1175245262434033664,9/21/19 3:08,JoeBiden,"Before tonight's #LGBTQforum in Iowa, I shared why I believe everybody deserves to be treated with dignity and respect under the law — regardless of who they are or whom they love. https://t.co/h53usuqLA9",Twitter Media Studio,5047,829
x1175223174692315139,9/21/19 1:40,JoeBiden,"LGBTQ rights are the civil rights issue of our time. For all the hard-won progress made in the fight for equality, and for as much as we can celebrate how much better things have gotten, this fight is not over. I’m proud to stand by those who fight for it every day. https://t.co/UTYvDoLD1R",Twitter Media Studio,3426,664
x1175185409963450373,9/20/19 23:10,JoeBiden,"Today, I am back in the Hawkeye State, discussing the issues that impact the lives of LGBTQ Americans at the #IowaForum. Tune in live: https://t.co/vm5coaATNc",Twitter Web Client,728,164
